Chapter_Desc,Chapter_Desc_Short,Group_Code,Group_Desc,ICD10_3_Code,ICD10_3_Code_Desc,ICD10_Code,WHO_Full_Desc
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F17,Mental and behavioural disorders due to use of tobacco,F17.9,"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F18,Mental and behavioural disorders due to use of volatile solvents,F18.0,"Mental and behavioural disorders due to use of volatile solvents, acute intoxication"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F18,Mental and behavioural disorders due to use of volatile solvents,F18.1,"Mental and behavioural disorders due to use of volatile solvents, harmful use"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F18,Mental and behavioural disorders due to use of volatile solvents,F18.2,"Mental and behavioural disorders due to use of volatile solvents, dependence syndrome"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F18,Mental and behavioural disorders due to use of volatile solvents,F18.3,"Mental and behavioural disorders due to use of volatile solvents, withdrawal state"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F18,Mental and behavioural disorders due to use of volatile solvents,F18.4,"Mental and behavioural disorders due to use of volatile solvents, withdrawal state with delirium"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F18,Mental and behavioural disorders due to use of volatile solvents,F18.5,"Mental and behavioural disorders due to use of volatile solvents, psychotic disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F18,Mental and behavioural disorders due to use of volatile solvents,F18.6,"Mental and behavioural disorders due to use of volatile solvents, amnesic syndrome"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F18,Mental and behavioural disorders due to use of volatile solvents,F18.7,"Mental and behavioural disorders due to use of volatile solvents, residual and late-onset psychotic disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F18,Mental and behavioural disorders due to use of volatile solvents,F18.8,"Mental and behavioural disorders due to use of volatile solvents, other mental and behavioural disorders"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F18,Mental and behavioural disorders due to use of volatile solvents,F18.9,"Mental and behavioural disorders due to use of volatile solvents, unspecified mental and behavioural disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F19,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,F19.0,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, acute intoxication"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F19,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,F19.1,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F19,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,F19.2,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, dependence syndrome"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F19,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,F19.3,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, withdrawal state"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F19,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,F19.4,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, withdrawal state with delirium"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F19,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,F19.5,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, other psychotic disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F19,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,F19.6,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, amnesic syndrome"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F19,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,F19.7,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, residual and late-onset other psychotic disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F19,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,F19.8,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, other mental and behavioural disorders"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,055 (F10-F19),Mental and behavioural disorders due to psychoactive substance use,F19,Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances,F19.9,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F20,Schizophrenia,F20.0,Paranoid schizophrenia
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F20,Schizophrenia,F20.1,Hebephrenic schizophrenia
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F20,Schizophrenia,F20.2,Catatonic schizophrenia
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F20,Schizophrenia,F20.3,Undifferentiated schizophrenia
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F20,Schizophrenia,F20.4,Post-schizophrenic depression
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F20,Schizophrenia,F20.5,Residual schizophrenia
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F20,Schizophrenia,F20.6,Simple schizophrenia
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F20,Schizophrenia,F20.8,Other schizophrenia
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F20,Schizophrenia,F20.9,"Schizophrenia, unspecified"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F21,Schizotypal disorder,F21,Schizotypal disorder
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F22,Persistent delusional disorders,F22.0,Delusional disorder
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F22,Persistent delusional disorders,F22.8,Other persistent delusional disorders
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F22,Persistent delusional disorders,F22.9,"Persistent delusional disorder, unspecified"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F23,Acute and transient psychotic disorders,F23.0,Acute polymorphic psychotic disorder without symptoms of schizophrenia
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F23,Acute and transient psychotic disorders,F23.1,Acute polymorphic psychotic disorder with symptoms of schizophrenia
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F23,Acute and transient psychotic disorders,F23.2,Acute schizophrenia-like psychotic disorder
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F23,Acute and transient psychotic disorders,F23.3,Other acute predominantly delusional psychotic disorders
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F23,Acute and transient psychotic disorders,F23.8,Other acute and transient psychotic disorders
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F23,Acute and transient psychotic disorders,F23.9,"Acute and transient psychotic disorder, unspecified"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F24,Induced delusional disorder,F24,Induced delusional disorder
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F25,Schizoaffective disorders,F25.0,"Schizoaffective disorder, manic type"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F25,Schizoaffective disorders,F25.1,"Schizoaffective disorder, depressive type"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F25,Schizoaffective disorders,F25.2,"Schizoaffective disorder, mixed type"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F25,Schizoaffective disorders,F25.8,Other schizoaffective disorders
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F25,Schizoaffective disorders,F25.9,"Schizoaffective disorder, unspecified"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F28,Other nonOrg psychotic disorders,F28,Other nonOrg psychotic disorders
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,056 (F20-F29),"Schizophrenia, schizotypal and delusional disorders",F29,Unspecified nonOrg psychosis,F29,Unspecified nonOrg psychosis
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F30,Manic episode,F30.0,Hypomania
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F30,Manic episode,F30.1,Mania without psychotic symptoms
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F30,Manic episode,F30.2,Mania with psychotic symptoms
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F30,Manic episode,F30.8,Other manic episodes
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F30,Manic episode,F30.9,"Manic episode, unspecified"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F31,Bipolar affective disorder,F31.0,"Bipolar affective disorder, current episode hypomanic"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F31,Bipolar affective disorder,F31.1,"Bipolar affective disorder, current episode manic without psychotic symptoms"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F31,Bipolar affective disorder,F31.2,"Bipolar affective disorder, current episode manic with psychotic symptoms"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F31,Bipolar affective disorder,F31.3,"Bipolar affective disorder, current episode mild or moderate depression"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F31,Bipolar affective disorder,F31.4,"Bipolar affective disorder, current episode severe depression without psychotic symptoms"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F31,Bipolar affective disorder,F31.5,"Bipolar affective disorder, current episode severe depression with psychotic symptoms"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F31,Bipolar affective disorder,F31.6,"Bipolar affective disorder, current episode mixed"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F31,Bipolar affective disorder,F31.7,"Bipolar affective disorder, currently in remission"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F31,Bipolar affective disorder,F31.8,Other bipolar affective disorders
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F31,Bipolar affective disorder,F31.9,"Bipolar affective disorder, unspecified"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F32,Depressive episode,F32.0,Mild depressive episode
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F32,Depressive episode,F32.1,Moderate depressive episode
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F32,Depressive episode,F32.2,Severe depressive episode without psychotic symptoms
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F32,Depressive episode,F32.3,Severe depressive episode with psychotic symptoms
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F32,Depressive episode,F32.8,Other depressive episodes
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F32,Depressive episode,F32.9,"Depressive episode, unspecified"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F33,Recurrent depressive disorder,F33.0,"Recurrent depressive disorder, current episode mild"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F33,Recurrent depressive disorder,F33.1,"Recurrent depressive disorder, current episode moderate"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F33,Recurrent depressive disorder,F33.2,"Recurrent depressive disorder, current episode severe without psychotic symptoms"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F33,Recurrent depressive disorder,F33.3,"Recurrent depressive disorder, current episode severe with psychotic symptoms"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F33,Recurrent depressive disorder,F33.4,"Recurrent depressive disorder, currently in remission"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F33,Recurrent depressive disorder,F33.8,Other recurrent depressive disorders
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F33,Recurrent depressive disorder,F33.9,"Recurrent depressive disorder, unspecified"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F34,Persistent mood [affective] disorders,F34.0,Cyclothymia
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F34,Persistent mood [affective] disorders,F34.1,Dysthymia
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F34,Persistent mood [affective] disorders,F34.8,Other persistent mood [affective] disorders
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F34,Persistent mood [affective] disorders,F34.9,"Persistent mood [affective] disorder, unspecified"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F38,Other mood [affective] disorders,F38.0,Other single mood [affective] disorders
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F38,Other mood [affective] disorders,F38.1,Other recurrent mood [affective] disorders
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F38,Other mood [affective] disorders,F38.8,Other specified mood [affective] disorders
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,057 (F30-F39),Mood [affective] disorders,F39,Unspecified mood [affective] disorder,F39,Unspecified mood [affective] disorder
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F40,Phobic anxiety disorders,F40.0,Agoraphobia
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F40,Phobic anxiety disorders,F40.1,Social phobias
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F40,Phobic anxiety disorders,F40.2,Specific (isolated) phobias
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F40,Phobic anxiety disorders,F40.8,Other phobic anxiety disorders
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F40,Phobic anxiety disorders,F40.9,"Phobic anxiety disorder, unspecified"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F41,Other anxiety disorders,F41.0,Panic disorder [episodic paroxysmal anxiety]
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F41,Other anxiety disorders,F41.1,Generalized anxiety disorder
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F41,Other anxiety disorders,F41.2,Mixed anxiety and depressive disorder
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F41,Other anxiety disorders,F41.3,Other mixed anxiety disorders
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F41,Other anxiety disorders,F41.8,Other specified anxiety disorders
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F41,Other anxiety disorders,F41.9,"Anxiety disorder, unspecified"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F42,Obsessive-compulsive disorder,F42.0,Predominantly obsessional thoughts or ruminations
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F42,Obsessive-compulsive disorder,F42.1,Predominantly compulsive acts [obsessional rituals]
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F42,Obsessive-compulsive disorder,F42.2,Mixed obsessional thoughts and acts
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F42,Obsessive-compulsive disorder,F42.8,Other obsessive-compulsive disorders
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F42,Obsessive-compulsive disorder,F42.9,"Obsessive-compulsive disorder, unspecified"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F43,"Reaction to severe stress, and adjustment disorders",F43.0,Acute stress reaction
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F43,"Reaction to severe stress, and adjustment disorders",F43.1,Post-traumatic stress disorder
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F43,"Reaction to severe stress, and adjustment disorders",F43.2,Adjustment disorders
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F43,"Reaction to severe stress, and adjustment disorders",F43.8,Other reactions to severe stress
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F43,"Reaction to severe stress, and adjustment disorders",F43.9,"Reaction to severe stress, unspecified"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F44,Dissociative [conversion] disorders,F44.0,Dissociative amnesia
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F44,Dissociative [conversion] disorders,F44.1,Dissociative fugue
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F44,Dissociative [conversion] disorders,F44.2,Dissociative stupor
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F44,Dissociative [conversion] disorders,F44.3,Trance and possession disorders
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F44,Dissociative [conversion] disorders,F44.4,Dissociative motor disorders
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F44,Dissociative [conversion] disorders,F44.5,Dissociative convulsions
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F44,Dissociative [conversion] disorders,F44.6,Dissociative anaesthesia and sensory loss
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F44,Dissociative [conversion] disorders,F44.7,Mixed dissociative [conversion] disorders
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F44,Dissociative [conversion] disorders,F44.8,Other dissociative [conversion] disorders
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F44,Dissociative [conversion] disorders,F44.9,"Dissociative [conversion] disorder, unspecified"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F45,Somatoform disorders,F45.0,Somatization disorder
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F45,Somatoform disorders,F45.1,Undifferentiated somatoform disorder
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F45,Somatoform disorders,F45.2,Hypochondriacal disorder
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F45,Somatoform disorders,F45.3,Somatoform autonomic dysfunction
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F45,Somatoform disorders,F45.4,Persistent somatoform pain disorder
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F45,Somatoform disorders,F45.8,Other somatoform disorders
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F45,Somatoform disorders,F45.9,"Somatoform disorder, unspecified"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F48,Other neurotic disorders,F48.0,Neurasthenia
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F48,Other neurotic disorders,F48.1,Depersonalization-derealization syndrome
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F48,Other neurotic disorders,F48.8,Other specified neurotic disorders
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,058 (F40-F48),"Neurotic, stress-related and somatoform disorders",F48,Other neurotic disorders,F48.9,"Neurotic disorder, unspecified"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,059 (F50-F59),Behavioural syndromes associated with physiological disturbances and physical factors,F50,Eating disorders,F50.0,Anorexia nervosa
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,059 (F50-F59),Behavioural syndromes associated with physiological disturbances and physical factors,F50,Eating disorders,F50.1,Atypical anorexia nervosa
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,059 (F50-F59),Behavioural syndromes associated with physiological disturbances and physical factors,F50,Eating disorders,F50.2,Bulimia nervosa
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,059 (F50-F59),Behavioural syndromes associated with physiological disturbances and physical factors,F50,Eating disorders,F50.3,Atypical bulimia nervosa
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,059 (F50-F59),Behavioural syndromes associated with physiological disturbances and physical factors,F50,Eating disorders,F50.4,Overeating associated with other psychological disturbances
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,059 (F50-F59),Behavioural syndromes associated with physiological disturbances and physical factors,F50,Eating disorders,F50.5,Vomiting associated with other psychological disturbances
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,059 (F50-F59),Behavioural syndromes associated with physiological disturbances and physical factors,F50,Eating disorders,F50.8,Other eating disorders
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,059 (F50-F59),Behavioural syndromes associated with physiological disturbances and physical factors,F50,Eating disorders,F50.9,"Eating disorder, unspecified"
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,059 (F50-F59),Behavioural syndromes associated with physiological disturbances and physical factors,F51,NonOrg sleep disorders,F51.0,NonOrg insomnia
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,059 (F50-F59),Behavioural syndromes associated with physiological disturbances and physical factors,F51,NonOrg sleep disorders,F51.1,NonOrg hypersomnia
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,059 (F50-F59),Behavioural syndromes associated with physiological disturbances and physical factors,F51,NonOrg sleep disorders,F51.2,NonOrg disorder of the sleep-wake schedule
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,059 (F50-F59),Behavioural syndromes associated with physiological disturbances and physical factors,F51,NonOrg sleep disorders,F51.3,Sleepwalking [somnambulism]
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,059 (F50-F59),Behavioural syndromes associated with physiological disturbances and physical factors,F51,NonOrg sleep disorders,F51.4,Sleep terrors [night terrors]
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,059 (F50-F59),Behavioural syndromes associated with physiological disturbances and physical factors,F51,NonOrg sleep disorders,F51.5,Nightmares
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,059 (F50-F59),Behavioural syndromes associated with physiological disturbances and physical factors,F51,NonOrg sleep disorders,F51.8,Other nonOrg sleep disorders
Mental and behavioural disorders (F00-F99),Mental and behavioural disorders,059 (F50-F59),Behavioural syndromes associated with physiological disturbances and physical factors,F51,NonOrg sleep disorders,F51.9,"NonOrg sleep disorder, unspecified"
